Radius	dN/dlogD(10^5 #/cm3)	Normalized
19.39547035	2.103614458	0.509186352
20.04797064	2.222891566	0.538057743
21.78612063	2.407228916	0.582677165
22.51904692	2.526506024	0.611548556
24.06650529	2.689156627	0.650918635
25.72030153	2.851807229	0.690288714
27.48663242	3.025301205	0.732283465
29.86850429	3.220481928	0.779527559
32.45677881	3.415662651	0.826771654
34.10627187	3.610843373	0.874015748
37.06476765	3.784337349	0.916010499
40.28477591	3.925301205	0.950131234
43.06175311	4.03373494	0.976377953
46.03759677	4.098795181	0.992125984
50.05734071	4.131325301	1
54.4390619	4.109638554	0.994750656
58.22466924	4.06626506	0.984251969
61.24059757	4.012048193	0.971128609
64.41534772	3.946987952	0.955380577
66.6362234	3.84939759	0.93175853
71.29304102	3.719277108	0.900262467
76.27837816	3.578313253	0.866141732
82.99556011	3.426506024	0.829396325
88.80639945	3.263855422	0.790026247
95.01640026	3.122891566	0.755905512
103.3920329	2.94939759	0.713910761
112.505972	2.775903614	0.67191601
116.4131046	2.613253012	0.632545932
124.5737005	2.428915663	0.587926509
137.8522841	2.244578313	0.543307087
147.5217333	2.04939759	0.496062992
157.9013257	1.8	0.435695538
166.1675676	1.604819277	0.388451444
180.8516577	1.377108434	0.333333333
196.8095133	1.181927711	0.286089239
210.614432	0.986746988	0.238845144
221.6223328	0.813253012	0.196850394
245.1662903	0.715662651	0.173228346
257.9279586	0.596385542	0.144356955
275.9418931	0.477108434	0.115485564
305.2441343	0.390361446	0.094488189
326.5099062	0.314457831	0.076115486
355.1336776	0.260240964	0.062992126
367.3480907	0.184337349	0.044619423
406.2910831	0.140963855	0.034120735
464.6863354	0.097590361	0.023622047
522.637971	0.054216867	0.01312336
607.78851	0.043373494	0.010498688
695.0883421	0.021686747	0.005249344
781.6473835	0.021686747	0.005249344
988.4852016	0.010843373	0.002624672
